Instance_Name_Alias,Instance_Name,Instance_Memory_GiB,Number_vCPUs,Instance_Storage_Type_and_Capacity,Network_Performance,On_Demand_hourly_price,Linux_Reserved_Cost_1_Year_Hourly,Linux_Spot_Minimum_Cost_Hourly
M6ID 32xlarge,m6id.32xlarge,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,7.5936,4.784,3.2785
M6ID Metal,m6id.metal,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,7.5936,4.784,2.8772
M6IDN 24xlarge,m6idn.24xlarge,384.0,96,5700 GB (4 * 1425 GB NVMe SSD),150 Gigabit,7.6378,4.8118,2.7617
G4DN Metal,g4dn.metal,384.0,96,1800 GB (2 * 900 GB NVMe SSD),100 Gigabit,7.824,4.929,3.428
R5DN Metal,r5dn.metal,768.0,96,3600 GB (4 * 900 GB NVMe SSD),100 Gigabit,8.016,5.05,3.1291
R5DN 24xlarge,r5dn.24xlarge,768.0,96,3600 GB (4 * 900 GB NVMe SSD),100 Gigabit,8.016,5.05,3.2022
R6I Metal,r6i.metal,1024.0,128,EBS only,50 Gigabit,8.064,5.3343,3.0171
R6I 32xlarge,r6i.32xlarge,1024.0,128,EBS only,50 Gigabit,8.064,5.3343,3.053
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384.0,96,3800 GB NVMe SSD,50 Gigabit,8.144,5.1307,3.2317
I4I 24xlarge,i4i.24xlarge,768.0,96,22500 GB (6 * 3750 GB NVMe SSD),56.25 Gigabit,8.2368,5.3449,2.4409
M6A 48xlarge,m6a.48xlarge,768.0,192,EBS only,50 Gigabit,8.2944,5.4867,3.5469
M6A Metal,m6a.metal,768.0,192,EBS only,50 Gigabit,8.2944,5.4867,3.5356
R6IN 24xlarge,r6in.24xlarge,768.0,96,EBS only,150 Gigabit,8.3678,5.2717,3.2746
C7I 48xlarge,c7i.48xlarge,384.0,192,EBS only,50 Gigabit,8.568,5.6677,3.4807
C7I Metal-48xl,c7i.metal-48xl,384.0,192,EBS only,50 Gigabit,8.568,5.6677,2.0203
M6IN 32xlarge,m6in.32xlarge,512.0,128,EBS only,200 Gigabit,8.9107,5.6137,3.1944
M6IN Metal,m6in.metal,512.0,128,EBS only,200 Gigabit,8.9107,5.6137,3.3687
R6IDN 24xlarge,r6idn.24xlarge,768.0,96,5700 GB (4 * 1425 GB NVMe SSD),150 Gigabit,9.3787,5.9086,3.7083
M7I Metal-48xl,m7i.metal-48xl,768.0,192,EBS only,50 Gigabit,9.6768,6.4012,3.2267
R6ID 32xlarge,r6id.32xlarge,1024.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,9.6768,6.0816,3.6086
R6ID Metal,r6id.metal,1024.0,128,7600 GB (4 * 1900 GB NVMe SSD),50 Gigabit,9.6768,6.0816,3.8178
M7I 48xlarge,m7i.48xlarge,768.0,192,EBS only,50 Gigabit,9.6768,6.4012,3.878
R7A 32xlarge,r7a.32xlarge,1024.0,128,EBS only,50 Gigabit,9.7376,6.4414,3.7216
C7A Metal-48xl,c7a.metal-48xl,384.0,192,EBS only,50 Gigabit,9.8534,6.518,3.6258
C7A 48xlarge,c7a.48xlarge,384.0,192,EBS only,50 Gigabit,9.8534,6.518,3.6902
X2IDN 24xlarge,x2idn.24xlarge,1536.0,96,2850 GB (2 * 1425 GB NVMe SSD),75 Gigabit,10.0035,6.1551,3.6828
X2IEZN 12xlarge,x2iezn.12xlarge,1536.0,48,EBS only,100 Gigabit,10.008,6.1614,3.9002
X2IEZN Metal,x2iezn.metal,1536.0,48,EBS only,100 Gigabit,10.008,6.1614,3.8876
M6IDN 32xlarge,m6idn.32xlarge,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),200 Gigabit,10.1837,6.4157,4.0972
M6IDN Metal,m6idn.metal,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),200 Gigabit,10.1837,6.4157,3.6098
I3EN Metal,i3en.metal,768.0,96,60000 GB (8 * 7500 GB NVMe SSD),100 Gigabit,10.848,7.388,3.6697
I3EN 24xlarge,i3en.24xlarge,768.0,96,60000 GB (8 * 7500 GB NVMe SSD),100 Gigabit,10.848,7.388,4.0228
R6A 48xlarge,r6a.48xlarge,1536.0,192,EBS only,50 Gigabit,10.8864,7.2013,3.898
R6A Metal,r6a.metal,1536.0,192,EBS only,50 Gigabit,10.8864,7.2013,4.1879
I4I Metal,i4i.metal,1024.0,128,30000 GB (8 * 3750 GB NVMe SSD),75 Gigabit,10.982,7.127,4.5548
I4I 32xlarge,i4i.32xlarge,1024.0,128,30000 GB (8 * 3750 GB NVMe SSD),75 Gigabit,10.9824,7.1266,3.9794
M7A Metal-48xl,m7a.metal-48xl,768.0,192,EBS only,50 Gigabit,11.1283,7.3614,4.333
M7A 48xlarge,m7a.48xlarge,768.0,192,EBS only,50 Gigabit,11.1283,7.3614,4.1224
R6IN 32xlarge,r6in.32xlarge,1024.0,128,EBS only,200 Gigabit,11.1571,7.029,4.739
R6IN Metal,r6in.metal,1024.0,128,EBS only,200 Gigabit,11.1571,7.029,3.6563
R7IZ Metal-32xl,r7iz.metal-32xl,1024.0,128,EBS only,50 Gigabit,11.904,7.4995,3.3664
R7IZ 32xlarge,r7iz.32xlarge,1024.0,128,EBS only,50 Gigabit,11.904,7.4995,4.2909
P3 High Performance GPU Eight Extra Large,p3.8xlarge,244.0,32,EBS only,10 Gigabit,12.24,8.354,4.163
R6IDN 32xlarge,r6idn.32xlarge,1024.0,128,7600 GB (4 * 1900 GB NVMe SSD),200 Gigabit,12.505,7.8781,4.7645
R6IDN Metal,r6idn.metal,1024.0,128,7600 GB (4 * 1900 GB NVMe SSD),200 Gigabit,12.505,7.8781,4.6723
R7I 48xlarge,r7i.48xlarge,1536.0,192,EBS only,50 Gigabit,12.7008,8.4016,3.3288
R7I Metal-48xl,r7i.metal-48xl,1536.0,192,EBS only,50 Gigabit,12.7008,8.4016,3.6049
INF2 48xlarge,inf2.48xlarge,768.0,192,EBS only,100 Gigabit,12.9813,8.1782,4.9555
DL1 24xlarge,dl1.24xlarge,768.0,96,4000 GB (4 * 1000 GB NVMe SSD),4x 100 Gigabit,13.109,8.2587,4.8458
F1 16xlarge,f1.16xlarge,976.0,64,3760 GB (4 * 940 GB NVMe SSD),25 Gigabit,13.2,8.925,4.531
X2IDN 32xlarge,x2idn.32xlarge,2048.0,128,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,13.338,8.2069,4.4099
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952.0,128,3840 GB (2 * 1920 GB SSD),25 Gigabit,13.338,8.219,4.5385
X2IEDN 16xlarge,x2iedn.16xlarge,2048.0,64,1900 GB NVMe SSD,50 Gigabit,13.338,8.2069,4.5172
X2IDN Metal,x2idn.metal,2048.0,128,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,13.338,8.2069,4.8363
X1E 16xlarge,x1e.16xlarge,1952.0,64,1920 GB SSD,10 Gigabit,13.344,8.223,4.3054
P2 General Purpose GPU 16xlarge,p2.16xlarge,732.0,64,EBS only,25 Gigabit,14.4,9.828,4.8349
R7A 48xlarge,r7a.48xlarge,1536.0,192,EBS only,50 Gigabit,14.6064,9.6621,5.8136
R7A Metal-48xl,r7a.metal-48xl,1536.0,192,EBS only,50 Gigabit,14.6064,9.6621,3.7896
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,768.0,192,7600 GB (2 * 3800 GB NVMe SSD),100 Gigabit,16.288,10.2614,6.025
X2IEDN 24xlarge,x2iedn.24xlarge,3072.0,96,2850 GB (2 * 1425 GB NVMe SSD),75 Gigabit,20.007,12.3103,6.9889
TRN1 32xlarge,trn1.32xlarge,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),8x 100 Gigabit,21.5,13.2289,7.5679
P3 High Performance GPU 16xlarge,p3.16xlarge,488.0,64,EBS only,25 Gigabit,24.48,16.708,8.4068
TRN1N 32xlarge,trn1n.32xlarge,512.0,128,7600 GB (4 * 1900 GB NVMe SSD),16x 100 Gigabit,24.78,15.2471,9.0318
X2IEDN 32xlarge,x2iedn.32xlarge,4096.0,128,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,26.676,16.4137,9.4286
X2IEDN Metal,x2iedn.metal,4096.0,128,3800 GB (2 * 1900 GB NVMe SSD),100 Gigabit,26.676,16.4137,8.8909
X1E 32xlarge,x1e.32xlarge,3904.0,128,3840 GB (2 * 1920 GB SSD),25 Gigabit,26.688,16.446,8.855
U-3TB1 56xlarge,u-3tb1.56xlarge,3072.0,224,EBS only,50 Gigabit,27.3,16.8235,0.0
P3DN 24xlarge,p3dn.24xlarge,768.0,96,1800 GB (2 * 900 GB NVMe SSD),100 Gigabit,31.212,19.215,11.8918
P4DE 24xlarge,p4de.24xlarge,1152.0,96,8000 GB (8 * 1000 GB NVMe SSD),400 Gigabit,40.9657,25.2194,0.0
U-6TB1 56xlarge,u-6tb1.56xlarge,6144.0,224,EBS only,100 Gigabit,46.4039,28.5962,0.0
U-6TB1 112xlarge,u-6tb1.112xlarge,6144.0,448,EBS only,100 Gigabit,54.6,33.647,0.0
U-9TB1 112xlarge,u-9tb1.112xlarge,9216.0,448,EBS only,100 Gigabit,81.9,50.4791,0.0
U-12TB1 112xlarge,u-12tb1.112xlarge,12288.0,448,EBS only,100 Gigabit,109.2,67.3054,0.0
U-18TB1 112xlarge,u-18tb1.112xlarge,18432.0,448,EBS only,100 Gigabit,163.8,100.9409,0.0
U-24TB1 112xlarge,u-24tb1.112xlarge,24576.0,448,EBS only,100 Gigabit,218.4,134.5879,0.0
